"","Sample_ID","extraction_ID","seq_date","sample_type.x","station","collection_year","collection_month","collection_day","location1","longitude","latitude","depth","sample_type.y","taxon","tot_reads","total_taxon_reads","reads_per_sample","prop_reads","taxon_abbr"
"151","e02336_A","e02336",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes polyspinis",7125,500250,16420,0.433922046285018,"S. polyspinis"
"152","e02337_A","e02337",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",23781,687833,24256,0.980417216358839,"S. alutus"
"153","e02337_A","e02337",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes polyspinis",475,500250,24256,0.019582783641161,"S. polyspinis"
"154","e02338_A","e02338",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",207,687833,300,0.69,"S. alutus"
"155","e02338_A","e02338",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes polyspinis",93,500250,300,0.31,"S. polyspinis"
"156","e02339_A","e02339",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",20362,687833,20362,1,"S. alutus"
"157","e02340_A","e02340",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",19693,687833,19710,0.999137493658042,"S. alutus"
"158","e02340_A","e02340",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes polyspinis",17,500250,19710,0.000862506341958397,"S. polyspinis"
"159","e02341_A","e02341",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",19445,687833,19464,0.999023838882039,"S. alutus"
"160","e02341_A","e02341",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes polyspinis",19,500250,19464,0.000976161117961365,"S. polyspinis"
"161","e02342_A","e02342",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes alutus",15497,687833,15525,0.998196457326892,"S. alutus"
"162","e02342_A","e02342",20241219,"sample","120",2022,7,12,"Aleutian Islands",-178.0768,51.44577,44.3,"sample","Sebastes polyspinis",28,500250,15525,0.00180354267310789,"S. polyspinis"
